32942	1538780	call	1.2	3
32942	2234581	call	1.43	3
32942	1346558	call	8.28	5
32942	532752	call	7.72	11
32942	2117049	call	20.5	18
32942	9481681	call	23.63	37
32942	8670635	call	22.8	39
32942	7882475	call	41.8	62
32942	5814169	call	32.13	62
32942	8739671	call	35.48	71
32942	4405855	call	131.1	175
32942	5673507	call	3.73	6
32942	7882475	call	48.93	100
32942	8739671	call	21.42	45
32942	8727477	call	3.67	6
32942	3072748	call	1.08	2
32942	4405855	call	194.47	224
34402	34402	contact	0	0
34402	1162816	contact	0	0
34402	8444178	contact	0	0
34402	1986192	call	1.15	2
34402	1205935	call	2.45	4
34402	6710763	call	6.43	8
34402	6559274	call	13.1	11
34402	8444178	call	32.13	35
34402	8367727	call	49.666666666667	13
34402	1162816	call	1.47	2
34402	8444178	call	32.18	35
35001	1155787	contact	0	0
35001	2886811	call	5.33	5
35001	487636	call	4.0	7
35001	9179914	call	15.016666666666667	13
35001	6795335	call	21.33	22
35001	200990	call	203.37	130
35001	7348581	call	4.0333333333333	3
35001	6536983	call	144.35	206
35001	3865822	call	16.283333333333	4
35001	3063000	call	1.32	2
35001	3606789	call	1.65	2
35001	4442736	call	4.23	4
35001	5924903	contact	0	0
35001	3523560	call	1.87	2
35001	6476743	call	6.78	5
35001	8192429	call	6.4	3
35001	9085724	contact	0	0
35001	9085724	call	4.83	5
35001	2696285	contact	0	0
35001	1295001	call	6.42	3
35001	6193018	call	104.33	103
35001	5524321	call	1.77	2
35001	443520	call	281.33	356
35001	8630117	call	4.93	3
35001	1526849	call	11.666666666666666	6
35206	8655102	contact	0	0
35206	7061966	contact	0	0
35206	4849934	contact	0	0
35206	7179091	contact	0	0
35206	7281456	contact	0	0
35206	5605105	contact	0	0
35206	162551	contact	0	0
35206	8202285	contact	0	0
35206	1655196	contact	0	0
35206	3031448	contact	0	0
35206	9006574	contact	0	0
35206	2151469	contact	0	0
35206	468258	call	3.47	2
35206	3031448	call	2.4	2
35206	7281456	call	3.07	3
35206	7179091	call	1.75	3
35206	7976512	call	6.68	4
35206	1655196	call	4.17	4
35206	9006574	call	5.52	9
35206	2151469	call	18.02	19
35206	5605105	call	17.75	21
35206	8655102	call	20.9	48
35206	8202285	contact	0	0
35206	5605105	call	16.8	20
35206	3031448	call	2.8166666666667	2
35206	8973670	contact	0	0
35206	468258	call	3.47	2
35206	7179091	contact	0	0
35206	7179091	call	1.77	3
35206	8655102	call	15.4	29
35206	7061966	contact	0	0
35206	9006574	contact	0	0
35663	4430306	call	2.0333333333333	7
35663	4390334	call	2.533333333333333	2
35663	4390334	call	2.52	2
35663	4788155	call	17.55	3
35663	3962649	call	1.53	3
35663	4587832	call	9.45	6
35663	3962649	call	1.6	3
35777	6653264	call	17.316666666666666	21
35777	5181063	call	9.4666666666667	17
35777	2526210	call	2.72	4
35777	625806	call	1.33	2
35777	625806	contact	0	0
35939	3298976	call	109.35	110
37021	5489723	call	36.38333333333333	15
37021	6301748	call	2.93	2
37399	8552200	call	1.45	3
37399	9065379	call	15.633333333333333	21
37399	3018352	call	61.8	97
37399	5265995	call	1.7166666666667	2
37399	3018352	call	61.13333333333333	94
37962	7687601	call	1.7166666666666666	2
37962	7687601	call	1.05	2
38022	8404499	call	9.1	14
